"Manufacturer","Model/Type","Drivetrain type","Weblink (optional)","Cost","Manufacturer","Model/Type","Outer diameter [mm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Motor velocity constant (Kv)","Maximum voltage [V]","Maximum torque [Nm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Cell chemistry","Number of cells","Capacity [mAh]","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","CPU details","GPU details","RAM amount","Weblink (optional)","Cost","Manufacturer","Model/Type","Number of planes","Detection range [m]","Scanning frequency","Angular resolution","Weblink (optional)","Cost","Manufacturer","Model/Type","Resolution","Shutter type","Field-of-view angle","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Measurement category","Manufacturer","Model/Type","Weblink","Cost"
"Traxxas","Traxxas Slash 4x4 Ultimate","4WD","-","CA$843.73","Matrix tires","MX-GT40","100","https://matrixtires.net","54.99CAD","hobbywing","EZRUN 3652 SD G3 Motor","3300","14.8","0.289","https://www.hobbywingdirect.com/products/xerun-1-8-competition-motor-4274-sd-g3-motor","85.00 CAD","GENS ACE","rapid 5.0","LiPo","4","5000","-","$29","VESC","MK6","-","£185.00","XBOX","EP2-40650","-","$85.54","sparkfun","orin nano","12-core Arm Cortex-A78AE v8.2 64-bit CPU 3MB L2 + 6MB L3","GPU 128-core Maxwell GPU","16G","https://www.seeedstudio.com/NVIDIArJetson-AGX-Orintm-64GB-Developer-Kit-p-5641.html","CAD344.54","hokuyo","UST-10LX","1","10","40","0,25","-","$1,200.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","GRP tyres","GTH04-XM3","93","/https://www.grpgandini.it/en/gth04-xm3/","20,98€","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
