"Manufacturer","Model/Type","Drivetrain type","Weblink (optional)","Cost","Manufacturer","Model/Type","Outer diameter [mm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Motor velocity constant (Kv)","Maximum voltage [V]","Maximum torque [Nm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Cell chemistry","Number of cells","Capacity [mAh]","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","CPU details","GPU details","RAM amount","Weblink (optional)","Cost","Manufacturer","Model/Type","Number of planes","Detection range [m]","Scanning frequency","Angular resolution","Weblink (optional)","Cost","Manufacturer","Model/Type","Resolution","Shutter type","Field-of-view angle","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Measurement category","Manufacturer","Model/Type","Weblink","Cost"
"Serpent","SRX8 GTE '23 1/8 4WD EP","4WD","https://www.rcmart.com/hobby-news/Serpent-SRX8-GTE-23-EP-GT?srsltid=AfmBOoqFWiNLHn6l0F37I3YGaFFl4nc_0LWpMdBKu_Ul3YndRR1bLWHZ","871 USD","STRADALE","SP33MS STRADALE 1/8 Buggy Tires (Mega Soft)","110","https://rctube.co.kr/goods/goods_view.php?goodsNo=1000003827","29 USD","Hobbywing","XERUN 4268SD G2 3200KV","3200","14.8","","https://www.hobbywing.com/en/products/xerun-42744268-sd-g2191","134 USD","ECOFLUX","14.8V 3000mAh 120C 4S1P LiPo","LiPo","4","3000","-","40 USD","Trampa","VESC HP MK6","https://trampaboards.com/vesc-hp-mk6--p-34854.html","300 USD","Microsoft","Xbox Wireless Controller (Gen 4)","https://www.xbox.com/en-US/accessories/controllers/xbox-wireless-controller","60 USD","ASUS (Intel)","NUC 14 Pro Slim (NUC14RVH)","Intel Core Ultra 7 155H (16C/22T, up to 4.8GHz)","Intel Arc Graphics (Integrated, 8 Xe-cores)","16GB DDR5-5600MHz","https://www.asus.com/displays-desktops/nucs/nuc-mini-pcs/asus-nuc-14-pro/","700 USD","Livox","Mid-360","0","70","10","0,15","https://www.livoxtech.com/mid-360","699 USD","Intel","Realsense L515","1280x720","Rolling","70 x 55","https://www.intel.co.kr/content/www/kr/ko/products/sku/201775/intel-realsense-lidar-camera-l515/specifications.html","300 USD","LORD MicroStrain","3DM-GX5-25","https://www.microstrain.com/inertial-sensors/3dm-gx5-25","1,700 USD","LED Indicator","ThingM","blink(1) mk3","https://blink1.thingm.com/","30 USD"
"Serpent","SRX8GT-E R 1/8 4wd EP","4WD","https://serpent.com/products/ser600074","966 USD","Contact","GT8/Rally 1/8 BLACK Pre-Glued Foam Tyres","103","","60 USD","Hobbywing","XERUN 4268SD G3 2400KV","2400","14.8","","https://www.falconshop.co.kr/shop/goods/goods_view.php?goodsno=100052082&category=019011039001","134 USD","","","","","","","","","","","","BetaFPV","LiteRadio 3","https://betafpv.com/products/literadio-3-radio-transmitter?srsltid=AfmBOoqqHDp67YVr_f4igF161MJeQhzkmoBZasMvtrQwGQe_p_5mVQbK","32.99 USD","","","","","","","","Robosense","Airy 96","96","30","10","0,4","https://www.robosense.ai/en/IncrementalComponents/Airy","1,272 USD","e-con systems","See3CAM_24CUG","1920x1200","Global","128.2°(D), 104.6°(H), 61.6°(V)","https://smartstore.naver.com/cythus/products/8827840432","199 USD","","","","","","","","",""
"","","","","","STRADALE","SP360MS 1/8 Buggy Tires w/Inserts (4pcs) MEGA SOFT","110","https://rctube.co.kr/goods/goods_view.php?goodsNo=1000003824","29 USD","Hobbywing","XERUN 4268SD G3 1900KV","1900","14.8","","https://www.falconshop.co.kr/shop/goods/goods_view.php?inflow=naverCheckout&goodsno=100050101&NaPm=ct%3Dmobnpk1j%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3Dnull%7Chk%3D60279729d1555ab4746adf89d14b9d7f3e7a6012","134 USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
