"Manufacturer","Model/Type","Drivetrain type","Weblink (optional)","Cost","Manufacturer","Model/Type","Outer diameter [mm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Motor velocity constant (Kv)","Maximum voltage [V]","Maximum torque [Nm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Cell chemistry","Number of cells","Capacity [mAh]","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","CPU details","GPU details","RAM amount","Weblink (optional)","Cost","Manufacturer","Model/Type","Number of planes","Detection range [m]","Scanning frequency","Angular resolution","Weblink (optional)","Cost","Manufacturer","Model/Type","Resolution","Shutter type","Field-of-view angle","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Measurement category","Manufacturer","Model/Type","Weblink","Cost"
"Hobao","HB-VTE2-8","4WD","","376,2","SP Racing","SP-GT-37","99","","20","Hobbywing","Ezrun 3652SD","3300","","","","49,3","Kyosho","Pink Ultra XR LiPo 4S","LiPo","4","5000","-","53,06","Trampaboards","VESC 6 MkVI","-","213,76","Logitech","F710","-","43,99","ASUS","NUC 14 Pro Slim Kit RNUC14RVKU500002I","Intel Core Ultra 7 155H","","32 GB","","698","Hokuyo","UST-20LX","2","20","40","0,25","-","1999","-","-","-","-","-","-","-","Trampaboard","Internal VESC-IMU","-","0,01","-","-","-","-","-"
"Traxxas","TRX68277-4GRN","4WD","","559,95","Contact Tyres","CONJB40B","103","","28,95","Traxxas","TRX3351R","3500","","","","105","","","","","","","","","","","","","","","","ASUS","NUC 15 Pro Slim Kit RNUC15CRKU700002","Intel Core Ultra 7 255H","","32","","679","","","","","","","","","","","","","","","","","","","","","","","",""
