"Manufacturer","Model/Type","Drivetrain type","Weblink (optional)","Cost","Manufacturer","Model/Type","Outer diameter [mm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Motor velocity constant (Kv)","Maximum voltage [V]","Maximum torque [Nm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Cell chemistry","Number of cells","Capacity [mAh]","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","CPU details","GPU details","RAM amount","Weblink (optional)","Cost","Manufacturer","Model/Type","Number of planes","Detection range [m]","Scanning frequency","Angular resolution","Weblink (optional)","Cost","Manufacturer","Model/Type","Resolution","Shutter type","Field-of-view angle","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Measurement category","Manufacturer","Model/Type","Weblink","Cost"
"Traxxas","Traxxas Slash 4X4","4WD","-","900","ARRMA","Hoons 2.9 Tires on 5-Spoke Wheel","100","-","84","Traxxas","Velineon 3500","3500","-","-","-","100","Traxxas","Traxxas LiPo Battery w/iD Connector","LiPo","3","5000","-","80","TRAMPA","VESC 6","-","329","Sony","DualShock 4 wireless Controller for Playstation 4","-","91.44","NVIDIA","Jetson Orin NX 8GB","6-core Arm Cortex-A78AE (Orin NX 8GB)","1024-core NVIDIA Ampere architecture GPU with 32 Tensor Cores","8GB 128-bit LPDDR5","-","USD 789","Hokuyo","Hokuyo UST-10LX Scanning Laser Rangefinder","2","30","40","0,25","-","USD 1200","-","-","-","-","-","-","-","Trampa","BMI160 (Come with Vesc6)","-","USD 5","-","-","-","-","-"
"","","","","","","","","","","Hobbywing","EZRUN 3652 SD G3","3300","","","","$90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
