"Manufacturer","Model/Type","Drivetrain type","Weblink (optional)","Cost","Manufacturer","Model/Type","Outer diameter [mm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Motor velocity constant (Kv)","Maximum voltage [V]","Maximum torque [Nm]","Weblink (optional)","Cost","Manufacturer","Model/Type","Cell chemistry","Number of cells","Capacity [mAh]","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Manufacturer","Model/Type","CPU details","GPU details","RAM amount","Weblink (optional)","Cost","Manufacturer","Model/Type","Number of planes","Detection range [m]","Scanning frequency","Angular resolution","Weblink (optional)","Cost","Manufacturer","Model/Type","Resolution","Shutter type","Field-of-view angle","Weblink (optional)","Cost","Manufacturer","Model/Type","Weblink (optional)","Cost","Measurement category","Manufacturer","Model/Type","Weblink","Cost"
"XRAY","GTXE'24/25 - 350605","4WD","https://teamxray.com/gtxe/24/en/","648,38 EUR","Contact Tyres","B35B","103","https://www.trashop.eu/contact-tyres-gt-tires-35-on-black-disc-rim-103mm-en-166927.html","28,95 EUR","Hobbywing","XeRun 4268SD","1900","-","-","https://www.hobbywing.com/en/products/xerun-4268-4274-g332","249,95 EUR","Intellect","MC3 8400mAh 130C 7.6V","LiHV","4","8400","-","75,95 EUR","Flipsky","75200 Pro 84V","https://flipsky.net/products/75200-pro-84v-with-aluminum-pcb","146 USD","RadioMaster","Pocket ELRS","-","64,42 EUR","ASUS","NUC 15 Pro+ RNUC15CRSU900002","Core Ultra 9 285H","-","32GB","-","764,65 EUR","Hokuyo","UST-20LX","1","20","40","0,25","-","2015 EUR","-","-","-","-","-","-","-","Phidgets","PhidgetSpatial MOT0110_0","https://www.phidgets.com/?prodid=1205","105 USD","-","-","-","-","-"
"","","","","","AKA","P1 Reifen Ultra Soft","","","23,95 EUR","","","","","","","","","","","","","","","TRAMPA","VESC 6 MkVI","","180 GBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","AKA","1:8 Buggy Impact Ultra Soft","","","23,95 EUR","","","","","","","","","","","","","","","Hobbywing","Xerun XR8 Pro G3","","140 EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
