timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1775845130048,0.95726967,-0.2857408,0.16910547,0.0021428908,-0.0058473065,0.99838376,-0.0564896
1775845130059,0.9547221,-0.2906193,0.16933249,0.0027344576,-0.008731572,0.99848527,-0.054254185
1775845130068,0.9521772,-0.29570693,0.16913556,0.00083399,-0.0055390433,0.99862784,-0.052069087
1775845130077,0.94944257,-0.30061066,0.16902211,0.0006156787,-0.007564774,0.9987372,-0.049661808
1775845130087,0.94673723,-0.305477,0.1691284,0.0012272039,-0.008767435,0.9988059,-0.04804471
1775845130097,0.9440726,-0.3101705,0.16899142,0.0017453784,-0.006252179,0.99891365,-0.04614535
1775845130108,0.9415323,-0.31485903,0.16882613,0.0034503464,-0.00513982,0.998966,-0.04504069
1775845130118,0.93907815,-0.3199956,0.16877244,0.0016164832,-0.007154893,0.99920046,-0.03930184
1775845130127,0.9363554,-0.32471928,0.16873373,0.0014438935,-0.008534874,0.99923563,-0.038120512
1775845130139,0.93376637,-0.3295793,0.16847636,0.0021058414,-0.0063141193,0.99937165,-0.03481321
1775845130149,0.93117,-0.33447856,0.16841903,0.00003158569,-0.0060568764,0.999422,-0.03345
1775845130158,0.92854476,-0.33906785,0.16827509,0.0009749978,-0.00840547,0.99945325,-0.0319626
1775845130170,0.925826,-0.34376222,0.16845052,0.001439789,-0.00722013,0.9995536,-0.028953727
1775845130178,0.92309225,-0.3485654,0.16853407,0.0016038722,-0.0065960353,0.99964345,-0.02582549
1775845130188,0.9203078,-0.3531911,0.16854218,0.0013841726,-0.0071085603,0.9996934,-0.023677189
1775845130197,0.9175374,-0.35801947,0.16837329,-0.00053696905,-0.006962849,0.99971855,-0.022672925
1775845130208,0.9146895,-0.36244527,0.16833398,0.003422992,-0.008102425,0.9997165,-0.022125307
1775845130220,0.91171724,-0.36727607,0.16831832,0.0012137985,-0.004957027,0.99980646,-0.018999664
1775845130234,0.9087473,-0.37189704,0.16841991,-0.0002999599,-0.0062447363,0.99982697,-0.017519865
1775845130237,0.9058359,-0.37690657,0.16832542,0.00022772867,-0.008324238,0.9998697,-0.013825718
1775845130250,0.90280133,-0.38194802,0.16821413,0.0008881771,-0.005681185,0.99992245,-0.0110561345
1775845130257,0.8997031,-0.38658246,0.16820696,0.0011390141,-0.006636962,0.999943,-0.008288647
1775845130267,0.89665884,-0.39135152,0.16815266,0.0010208571,-0.005457024,0.9999684,-0.0056961244
1775845130279,0.8936204,-0.39632335,0.16800639,0.0013070424,-0.006348997,0.9999714,-0.0038990153
1775845130289,0.89049774,-0.40137437,0.16789174,0.0013316103,-0.008431347,0.9999635,-0.00030247314
1775845130297,0.8873525,-0.4062236,0.16796933,0.0013233089,-0.007055613,0.9999693,0.0031530357
1775845130308,0.88412464,-0.41084665,0.16799456,0.00016775698,-0.007965583,0.99996245,0.003422948
1775845130319,0.8808556,-0.4153519,0.16822405,0.0007107262,-0.004263626,0.9999902,0.0009971579
1775845130329,0.8779584,-0.42074606,0.16780607,-0.0002499391,-0.0040553994,0.99996567,0.0072268904
